state,race_eth,year,demVote,repVote,pop,turnout
Nebraska,White,2012,0.346342551968443,0.632004415578749,1173029,0.614929122874463
Nevada,Black,2004,0.851045418126376,0.131876248432847,104703,0.516547950484436
Nevada,Black,2012,0.93978876555312,0.0478986850695997,159277,0.557007178029404
Nevada,Hispanic,2004,0.587401552394855,0.391470349634468,160324,0.408785084581105
Nevada,Hispanic,2012,0.693555324263731,0.281996231505237,290533,0.467342479205112
Nevada,Other,2004,0.476793759552251,0.491984520962724,111948,0.432739754989412
Nevada,Other,2012,0.583446647697323,0.392009701935101,196725,0.480969005096174
Nevada,White,2004,0.437729214706513,0.5473262400283,1084473,0.609992567317742
Nevada,White,2012,0.42917586601888,0.551790295995164,1177408,0.59096127070184
New Hampshire,Black,2004,0.891384899404581,0.0991595532811361,5476,0.657213084030104
New Hampshire,Black,2012,0.953195062227266,0.0339046033781432,8168,0.738422111987544
New Hampshire,Hispanic,2004,0.612641031697686,0.377437373958054,11267,0.607001807155743
New Hampshire,Hispanic,2012,0.69994923061071,0.28118384323125,22271,0.699550185912817
New Hampshire,Other,2004,0.54589450797836,0.440680722594142,16334,0.581840792351319
New Hampshire,Other,2012,0.652342030712361,0.326208472588417,26097,0.553226567052962
New Hampshire,White,2004,0.498520683724118,0.492721999556706,894332,0.735516815513663
New Hampshire,White,2012,0.508929893021551,0.475051141075292,958933,0.703827412668135
New Jersey,Black,2004,0.890397246361663,0.100480020825671,682738,0.588039341947586
New Jersey,Black,2012,0.970056676071691,0.021816549960368,788582,0.647854148323777
New Jersey,Hispanic,2004,0.635258884586676,0.354578850972912,595285,0.502777284033806
New Jersey,Hispanic,2012,0.743296884663747,0.241179592595014,769827,0.510052823029991
New Jersey,Other,2004,0.604106604936043,0.385098655826116,336067,0.529246816275446
New Jersey,Other,2012,0.704917481975339,0.278360754573641,469807,0.48934571011169
New Jersey,White,2004,0.459622125759758,0.532300348740889,4017639,0.680375223085902
New Jersey,White,2012,0.4675312538277,0.519882079895879,3989626,0.631062512252831
New Mexico,Black,2004,0.847036824515302,0.141890543132776,26991,0.567560197000156
New Mexico,Black,2012,0.927076819393866,0.0439910977138543,24654,0.542086736683171
New Mexico,Hispanic,2004,0.5862647069043,0.401015647614175,474812,0.492555563665499
New Mexico,Hispanic,2012,0.657858051766955,0.296990449707717,584605,0.456079673992839
New Mexico,Other,2004,0.462712948196941,0.519744997697539,131968,0.440978774648727
