fips,X,race_eth,edu5,age4,SEX,Freq,sex,state,postal,GESTCEN,census.region,nate.subregion,nate.region
2,461,Hispanic,nohs,1,1,436,Male,Alaska,AK,94,west,interior,west
2,6530,Black,nohs,3,2,1220,Female,Alaska,AK,94,west,interior,west
2,5561,Hispanic,nohs,2,2,0,Female,Alaska,AK,94,west,interior,west
2,8111,White,somecol,4,2,7530,Female,Alaska,AK,94,west,interior,west
2,359,White,hs,1,1,15990,Male,Alaska,AK,94,west,interior,west
2,6173,Hispanic,col,3,2,1100,Female,Alaska,AK,94,west,interior,west
2,7601,Hispanic,nohs,4,2,7,Female,Alaska,AK,94,west,interior,west
2,3623,White,nohs,4,1,1978,Male,Alaska,AK,94,west,interior,west
2,6785,Hispanic,postgrad,3,2,82,Female,Alaska,AK,94,west,interior,west
2,2858,Black,somecol,3,1,1770,Male,Alaska,AK,94,west,interior,west
2,5459,White,hs,2,2,6791,Female,Alaska,AK,94,west,interior,west
2,6836,Other,postgrad,3,2,1883,Female,Alaska,AK,94,west,interior,west
2,5816,Other,postgrad,2,2,242,Female,Alaska,AK,94,west,interior,west
2,2909,Hispanic,somecol,3,1,1290,Male,Alaska,AK,94,west,interior,west
2,716,Other,postgrad,1,1,0,Male,Alaska,AK,94,west,interior,west
2,3266,Black,hs,4,1,0,Male,Alaska,AK,94,west,interior,west
2,7856,Other,postgrad,4,2,66,Female,Alaska,AK,94,west,interior,west
2,3980,Other,somecol,4,1,1069,Male,Alaska,AK,94,west,interior,west
2,1787,White,postgrad,2,1,7187,Male,Alaska,AK,94,west,interior,west
2,2807,White,postgrad,3,1,10867,Male,Alaska,AK,94,west,interior,west
2,3878,Black,somecol,4,1,989,Male,Alaska,AK,94,west,interior,west
2,7805,Hispanic,postgrad,4,2,0,Female,Alaska,AK,94,west,interior,west
2,7703,White,nohs,4,2,972,Female,Alaska,AK,94,west,interior,west
4,6225,Other,col,3,2,9918,Female,Arizona,AZ,86,west,interior,west
4,7296,White,col,4,2,55832,Female,Arizona,AZ,86,west,interior,west
4,6684,White,nohs,3,2,26482,Female,Arizona,AZ,86,west,interior,west
4,870,Hispanic,somecol,1,1,59571,Male,Arizona,AZ,86,west,interior,west
4,3063,Black,col,4,1,1368,Male,Arizona,AZ,86,west,interior,west
4,3777,Other,postgrad,4,1,1694,Male,Arizona,AZ,86,west,interior,west
4,8112,White,somecol,4,2,145529,Female,Arizona,AZ,86,west,interior,west
4,3675,Black,postgrad,4,1,485,Male,Arizona,AZ,86,west,interior,west
4,2757,Other,postgrad,3,1,6742,Male,Arizona,AZ,86,west,interior,west
4,4083,Black,col,1,2,744,Female,Arizona,AZ,86,west,interior,west
4,4746,Hispanic,postgrad,1,2,1882,Female,Arizona,AZ,86,west,interior,west
4,2196,White,col,3,1,107146,Male,Arizona,AZ,86,west,interior,west
4,4032,White,somecol,4,1,113992,Male,Arizona,AZ,86,west,interior,west
4,6582,Hispanic,nohs,3,2,28854,Female,Arizona,AZ,86,west,interior,west
4,768,White,postgrad,1,1,4507,Male,Arizona,AZ,86,west,interior,west
4,5868,White,postgrad,2,2,44084,Female,Arizona,AZ,86,west,interior,west
4,2349,Other,hs,3,1,12733,Male,Arizona,AZ,86,west,interior,west
4,4899,Black,somecol,1,2,11971,Female,Arizona,AZ,86,west,interior,west
4,3726,Hispanic,postgrad,4,1,1646,Male,Arizona,AZ,86,west,interior,west
4,6276,White,col,3,2,109494,Female,Arizona,AZ,86,west,interior,west
4,6939,Black,somecol,3,2,12359,Female,Arizona,AZ,86,west,interior,west
4,7908,White,postgrad,4,2,39671,Female,Arizona,AZ,86,west,interior,west
4,2247,Black,hs,3,1,7108,Male,Arizona,AZ,86,west,interior,west
4,2706,Hispanic,postgrad,3,1,6213,Male,Arizona,AZ,86,west,interior,west
4,7347,Black,hs,4,2,2059,Female,Arizona,AZ,86,west,interior,west
4,819,Black,somecol,1,1,11636,Male,Arizona,AZ,86,west,interior,west
4,5919,Black,somecol,2,2,12992,Female,Arizona,AZ,86,west,interior,west
4,2400,White,hs,3,1,116953,Male,Arizona,AZ,86,west,interior,west
4,4950,Hispanic,somecol,1,2,67389,Female,Arizona,AZ,86,west,interior,west
4,2604,White,nohs,3,1,29672,Male,Arizona,AZ,86,west,interior,west
4,6786,Hispanic,postgrad,3,2,6156,Female,Arizona,AZ,86,west,interior,west
4,6990,Hispanic,somecol,3,2,39704,Female,Arizona,AZ,86,west,interior,west
4,6735,Black,postgrad,3,2,1846,Female,Arizona,AZ,86,west,interior,west
